Customer_Id;CustomerName;Customer_adresse;StateID;id2;tempsInsc;SUM1;SUM2;State_Name;TotalSUM;AverageSUM
20;Rythmics Ltd.;1875 Roger Williams Ave.;22;48;05/01/2005 16:27;70685;28463.9495;Michigan;99148.9495;49574.47475
21;Parkway Auto Body;1859 Green Bay Rd.;27;25;12/02/1974 11:20;62605;8387.3210;Nebraska;70992.321;35496.1605
22;Futoons Cartoons Emporium;1486 Old Deerfield Rd.;24;46;08/10/2000 23:00;73220;51850.6979;Mississippi;125070.6979;62535.34895
23;Glenn Oaks Office Supplies;1882 St. Johns;10;8;03/09/2000 10:47;86100;54079.8900;Georgia;140179.89;70089.945
24;Garfield Appliance Service;3150 Skokie Valley Rd.;33;21;26/06/2001 00:47;74224;85912.7234;North Carolina;160136.72340000002;80068.36170000001
25;New Dehli Auto Exchange;1957 Huntington Ave.;49;46;26/05/2005 10:33;50903;82453.0231;Wisconsin;133356.0231;66678.01155
26;Kermit the Pet Shop;12 Skokie Valley Rd.;45;1;17/11/1970 03:20;1426.;23810.7660;Vermont;25236.766;12618.383
27;Hibbard Road Suppliers;1858 Balsam Way;28;34;24/11/1974 04:40;26080;8442.0880;Nevada;34522.088;17261.044
28;Peterson Roberts Carpentry;59 Cordon Terr.;12;44;04/09/2006 21:00;96110;43358.8080;Idaho;139468.808;69734.404
29;Acme Chemical Supply;1858 Balsam Way;6;22;29/03/2006 21:22;52443;90392.0276;Colorado;142835.0276;71417.5138
30;Truck-X Muffler Repair;807 Old Trail Rd.;25;27;07/02/1974 20:13;78564;35453.5004;Missouri;114017.50039999999;57008.750199999995
31;Arthur M. Feildberg Galleries;1220 Heather Lane;37;24;13/05/1992 04:22;82248;70587.6544;Oregon;152835.6544;76417.8272
32;Cotton Thumb Ltd.;1882 St. Johns;13;10;24/12/1996 20:40;50345;17088.4070;Illinois;67433.407;33716.7035
33;Childress Child Day Care;1912 Old Briar Lane #2;22;33;21/03/2000 03:35;2768.;97359.0055;Michigan;100127.0055;50063.50275
34;Foy Aviation;511 Hill;20;49;11/07/2002 07:02;46631;26404.9352;Maryland;73035.9352;36517.9676
35;Nyman Interior Design;2505 Allison ct.;47;45;02/01/1970 11:22;38474;90848.6540;Washington;129322.654;64661.327
36;Got It All Electronics Supply;629 Kincaid Ave.;22;28;29/04/1980 13:40;29440;53380.6126;Michigan;82820.6126;41410.3063
37;PGS Associates;726 White Oaks Ave.;26;12;17/10/2000 03:53;94198;32720.7556;Montana;126918.7556;63459.3778
38;Yale Remins Temp Agency;1912 Old Briar Lane #2;49;6;27/08/1985 04:07;81314;91092.3975;Wisconsin;172406.39750000002;86203.19875000001
39;Mergenthaler Inc.;673 Calais Drive;45;25;20/10/1971 10:47;30558;73456.6412;Vermont;104014.6412;52007.3206
40;Elm Place Business Supplies;505 N. Frances St.;16;37;02/02/2006 15:48;33428;86538.1125;Kansas;119966.1125;59983.05625
41;Parties Galore Golf Course;77 Blackhawk Rd;26;13;06/02/1996 09:47;4122.;28231.0160;Montana;32353.016;16176.508
42;Glenn Oaks Office Supplies;2600 Winsor Mall;38;22;29/02/1996 13:20;94411;70933.0546;Pennsylvania;165344.0546;82672.0273
43;Metro Appliance Service;2936 Arlington Ave.;30;20;14/01/1974 20:28;54665;69885.8828;New Jersey;124550.8828;62275.4414
44;Parkway Auto Body;726 White Oaks Ave.;14;47;11/05/1993 14:35;94320;69425.8882;Indiana;163745.8882;81872.9441
45;Quad City Cleaning;218 Oakridge Ave.;48;22;23/07/1977 18:35;43450;8688.6032;;52138.6032;26069.3016
46;Hi-Land Art & Frame;3478 Bryn Mawr St.;12;26;07/12/2006 04:55;74696;76875.3584;Idaho;151571.3584;75785.6792
47;Brand Y Creative Services;14836 W. River Oaks Dr.;35;49;23/10/1977 05:02;97171;70842.4880;Ohio;168013.488;84006.744
48;George Lee Antiques;632 Roger Williams;46;45;03/08/2007 19:55;65765;70580.8838;Virginia;136345.8838;68172.9419
49;Johnson, Erico & Co CPA's;5518 Madison St.;17;16;26/10/2002 03:40;89561;99258.1102;Kentucky;188819.1102;94409.5551
50;Trapezoid Studios;1831 Beverly Place #9D;15;26;21/08/1971 06:20;54770;72460.9378;Iowa;127230.9378;63615.4689
51;American Deli Workers Union;618 Sheriden rd.;4;38;04/09/1974 21:53;11072;9563.7552;Arkansas;20635.7552;10317.8776
52;Schmidt Denists;844 Spruce St.;47;30;24/02/2003 18:27;4500.;3520.5600;Washington;8020.5599999999995;4010.2799999999997
53;Crossroads Construction, Inc.;2267 Anderson Lane;5;14;04/06/1989 11:40;46277;63818.8902;California;110095.8902;55047.9451
54;Jay's Cabinet Company;2024 St.Johns Ave.;48;48;2006-02-29 06:42:00;61386;12933.4726;;74319.4726;37159.7363
55;Highland Heights Gift Shop;1799 Rosemary Way;28;12;01/07/2006 00:08;91420;11980.6011;Nevada;103400.6011;51700.30055
56;Glenn Oaks Office Supplies;1859 Green Bay Rd.;7;35;02/05/1999 00:07;1225.;51734.4826;Connecticut;52959.4826;26479.7413
57;Lee Stairworks and Carpentry,;2644 Princeton Ln.;41;46;24/12/1977 16:02;49648;9700.7312;South Dakota;59348.7312;29674.3656
58;Lambert & Locke Legal Services;662 Lyons Circle;45;17;15/09/1986 21:27;16920;31584.4395;Vermont;48504.4395;24252.21975
59;Nitelites Party Rental;12 Walker Ave.;37;15;16/09/2004 21:42;87570;87992.7496;Oregon;175562.74959999998;87781.37479999999
60;Vanity Town;1701 W. Mellody Rd.;32;4;21/09/1982 04:35;16120;60499.9252;New York;76619.9252;38309.9626
61;DBN Bank;456 Grossman Ln.;35;47;02/10/2003 08:08;64493;10448.7948;Ohio;74941.7948;37470.8974
62;BBQ Smith's Tex Mex;1101 Deerfield Place;9;5;24/08/2000 03:00;36616;7362.8436;Florida;43978.8436;21989.4218
63;Pivot Point College;1547 Knolwood Rd.;9;48;04/09/2000 22:08;1190.;23856.0000;Florida;25046.0;12523.0
64;Highland Woods City Hall;430 Oakland Drive;9;28;12/10/2006 21:40;10443;43494.6997;Florida;53937.6997;26968.84985
65;Mail Boxes Et. Al.;1859 Green Bay Rd.;30;7;17/02/2001 08:53;16029;78020.4434;New Jersey;94049.4434;47024.7217
66;Smith & Wesson Militia;1750 Lily Court;27;41;04/11/1978 20:40;66326;6676.0347;Nebraska;73002.0347;36501.01735
67;Acturial Enterprises Ltd.;1486 Oakwood;32;45;16/07/2006 17:28;90900;41916.7440;New York;132816.744;66408.372
68;Resnick DDS;726 White Oaks Ave.;6;37;25/04/1990 17:13;75566;16911.3445;Colorado;92477.3445;46238.67225
69;Air Mexico;313 Grove Ave.;6;32;05/11/2003 21:22;63097;44552.0683;Colorado;107649.0683;53824.53415
70;janice Mann Accounting Service;3181 Barkwood Ct.;28;35;09/02/1989 04:00;38310;64944.0328;Nevada;103254.0328;51627.0164
71;Pete's Auto Repair;1436 Waverly Rd.;32;9;03/04/2001 10:07;56790;13196.3456;New York;69986.3456;34993.1728
72;Michael Montgomery Hair Saloon;1077 Court Ave.;9;9;19/10/1972 08:22;81313;98985.2492;Florida;180298.24920000002;90149.12460000001
73;Gordon & Son Brockerage Ltd.;313 Grove Ave.;49;9;27/05/1996 02:20;75558;91936.6018;Wisconsin;167494.6018;83747.3009
74;Bee Line Publishing;3344 Beachwood Ln.;46;30;18/02/2006 12:55;33150;51721.2638;Virginia;84871.2638;42435.6319
75;Green Bay Travel Services;1795 Lake Cook Rd.;28;27;16/12/2006 22:42;39632;99143.6368;Nevada;138775.63679999998;69387.81839999999
76;Caranisco Homes;310 Walker Ave.;39;32;04/02/1994 22:13;37045;68925.7296;Rhode Island;105970.7296;52985.3648
77;Doll House Rock;844 Spruce St.;49;6;10/11/1978 06:28;8592.;72500.9600;Wisconsin;81092.96;40546.48
78;Moveit Motercycle Service;965 Marion Place Apt. 65C;13;6;21/08/1978 16:07;10620;51680.9919;Illinois;62300.9919;31150.49595
79;Funnyface Amusement Games;511 Hill;12;28;27/03/2005 00:13;8903.;24036.3954;Idaho;32939.3954;16469.6977
80;Glenwood Credit Union;2870 Skokie Rd.;21;32;08/03/1980 10:40;14095;28588.6032;Massachusetts;42683.6032;21341.8016
81;Glassman & Stone;654 Walnut Rd.;19;9;03/02/2007 10:53;21600;43866.2185;Maine;65466.2185;32733.10925
82;Yale Remins Temp Agency;628 Orwenstensia;24;49;10/11/1972 16:13;74600;12040.7126;Mississippi;86640.7126;43320.3563
83;Dean Barnett Furniture Repair;2922 Twin Oaks Drive;18;46;25/03/2001 19:33;95750;28880.0560;Louisiana;124630.056;62315.028
84;Eva Galler Galleries Inc.;1101 Deerfield Place;8;28;11/03/2000 11:33;33873;28716.9212;Delaware;62589.9212;31294.9606
85;Shaggy's Grooming Services;1270 Linden Ave.;6;39;12/01/1977 06:53;52760;50992.5684;Colorado;103752.56839999999;51876.284199999995
86;Bako Delicatessen;628 Orwenstensia;19;49;27/03/1971 05:33;90980;2568.5854;Maine;93548.5854;46774.2927
87;Cradle the Call;1155 Ridgewood Drive;28;13;23/09/2005 10:22;8250.;24448.5160;Nevada;32698.516;16349.258
88;Truck-X Muffler Repair;45 South Deer Creek Drive;19;12;19/02/1999 04:53;44304;47679.0904;Maine;91983.0904;45991.5452
89;Deer Lake Inn;1 Twin Oaks Place;22;21;11/10/1978 14:20;51284;54796.6944;Michigan;106080.69440000001;53040.347200000004
90;Crosstracks Car Wash;505 N. Frances St.;33;19;05/02/2005 22:27;6878.;13900.9230;North Carolina;20778.923000000003;10389.461500000001
91;Masterlands Cleaning;313 Grove Ave.;34;24;18/03/1987 21:07;14680;50366.5850;North Dakota;65046.585;32523.2925
92;Shaggy's Grooming Services;3160 Summit Ave.;7;18;17/11/2000 06:27;67920;58720.5376;Connecticut;126640.53760000001;63320.268800000005
93;North West Gas Co.;445 Park Ave.;30;8;12/04/1994 06:08;24287;55640.9436;New Jersey;79927.9436;39963.9718
94;Car Suite Cleaners;120 high St.;6;6;02/06/1974 00:07;63010;3559.9738;Colorado;66569.9738;33284.9869
95;Cutter Lawn Mower Repair;929 Brittany Ave.;2;19;26/06/2000 21:27;12956;26816.6184;Alaska;39772.6184;19886.3092
96;Doerner's Awnings and Canopies;616 Cobblestone Cir.;26;28;04/12/2001 13:33;90760;19776.1655;Montana;110536.1655;55268.08275
97;Yale Remins Temp Agency;245 Oakridge Ave.;19;19;22/06/2005 04:08;80543;92848.9882;Maine;173391.98820000002;86695.99410000001
98;Nyman Interior Design;1486 Oakwood;39;22;05/07/2000 08:33;86886;19550.2368;Rhode Island;106436.2368;53218.1184
99;Shaggy's Grooming Services;1077 Court Ave.;29;33;19/06/1970 08:08;9468.;8296.3344;New Hampshire;17764.3344;8882.1672
100;Johnson, Erico & Co CPA's;2632 Prarie Ln.;44;34;26/07/2006 11:15;89968;17116.1734;Utah;107084.1734;53542.0867
101;Bill's Dive Shop;872 Virginia Rd.;7;7;23/06/1980 10:20;62330;39227.7540;Connecticut;101557.754;50778.877
102;Bill's Dive Shop;245 Oakridge Ave.;34;30;28/07/1989 12:08;42925;72792.6976;North Dakota;115717.6976;57858.8488
103;Air Mexico;12 Skokie Valley Rd.;31;6;06/03/1992 05:33;62522;72148.9742;New Mexico;134670.9742;67335.4871
104;Metro Appliance Service;2220 Grant Blvd.;39;2;30/10/1977 22:53;25998;24696.3833;Rhode Island;50694.3833;25347.19165
105;Caranisco Homes;750 Homewood Ave.;16;26;20/08/2000 04:33;88628;30739.0813;Kansas;119367.0813;59683.54065
106;Caranisco Homes;1860 Parkside Ln.;40;19;14/02/2001 02:02;82676;46776.9915;South Carolina;129452.9915;64726.49575
107;Camp Oconomowoc;4763 Blackhawk Rd.;25;39;19/09/2005 23:02;45600;73440.9275;Missouri;119040.9275;59520.46375
108;Air India;135 Lakewood place;9;29;07/06/2000 16:20;3045.;13650.7006;Florida;16695.7006;8347.8503
109;Lickmen Restoration;1912 Old Briar Lane #2;23;44;22/11/2000 06:27;14608;27300.3582;Minnesota;41908.3582;20954.1791
110;K L Consulting;445 Park Ave.;43;7;27/01/1994 19:47;77500;42420.2392;Texas;119920.23920000001;59960.119600000005
111;DBN Bank;242 Ashland Ave.;20;34;20/12/2000 08:42;13990;24968.5648;Maryland;38958.5648;19479.2824
112;Hart Corporation;1777 balsamic Ave.;41;31;22/11/1998 02:00;58058;1610.5680;South Dakota;59668.568;29834.284
113;Hoffman Printing Center;430 Oakland Drive;44;39;12/02/2005 09:20;6296.;62114.6930;Utah;68410.693;34205.3465
114;Pasifico Inc.;1233 Arbor Rd.;45;16;09/04/1972 00:28;5631.;73285.6654;Vermont;78916.6654;39458.3327
115;Auto Interior Carpeting Compan;844 Spruce St.;48;40;13/04/2001 09:00;49944;34638.4350;;84582.435;42291.2175
116;Trapezoid Studios;54 Lakeview Terrace;6;25;11/01/1972 06:40;52216;48645.6910;Colorado;100861.69099999999;50430.845499999996
117;Pac Builders;1270 Linden Ave.;11;9;30/04/1974 14:20;99607;90376.3818;Hawaii;189983.3818;94991.6909
118;Dapper's Antiques;2024 St.Johns Ave.;19;23;16/02/2007 04:27;14295;34862.7030;Maine;49157.703;24578.8515
119;Tub's Furniture Store;1547 Vine;31;43;17/01/1990 18:13;18240;25882.4093;New Mexico;44122.4093;22061.20465
120;Kermit the Pet Shop;1235 Easton Rd.;3;20;13/11/1992 04:02;95802;18212.1840;Arizona;114014.18400000001;57007.092000000004
121;First National Bank of Ottowa;465 Stratford Rd.;5;41;07/07/1972 13:27;67344;140.8432;California;67484.8432;33742.4216
122;Terrinni & Son Auto and Truck;1859 Green Bay Rd.;12;44;11/12/1970 10:40;12928;28625.1218;Idaho;41553.1218;20776.5609
123;Esmarda Chemical Manufacturers;10 Marquette Rd.;4;45;23/11/2005 01:35;88025;48491.3736;Arkansas;136516.3736;68258.1868
124;First National Bank of Ottowa;2632 Prarie Ln.;44;48;31/12/1970 02:53;24196;14840.3157;Utah;39036.3157;19518.15785
125;Facelift Kitchen and Bath;3100 Trailer Way;47;6;15/01/1993 12:13;15220;91232.5356;Washington;106452.5356;53226.2678
126;Nina's Snow Plowing;302-A Crestwood Village Rd.;35;11;13/08/2004 13:27;71856;73505.9520;Ohio;145361.952;72680.976
127;Flinn Mosquito and Pest Contro;1859 Green Bay Rd.;43;19;18/06/1994 09:15;87452;65216.8000;Texas;152668.8;76334.4
128;Resnick DDS;302-A Crestwood Village Rd.;25;31;25/09/1974 17:53;23098;13011.1353;Missouri;36109.1353;18054.56765
129;Air Mexico;1535 Knollwood Drive;14;3;23/09/1974 10:20;85200;78053.9692;Indiana;163253.9692;81626.9846
130;Gordon & Son Brockerage Ltd.;899 Harvard Ct;31;5;24/10/2006 15:27;70403;46721.0000;New Mexico;117124.0;58562.0
131;Griffith Paving and Sealcoatin;2922 Twin Oaks Drive;22;12;22/11/1971 23:20;38164;54746.0524;Michigan;92910.0524;46455.0262
132;AAA Daniels Antiques;600 Central Ave;15;4;30/12/1983 19:20;9868.;87040.7075;Iowa;96908.7075;48454.35375
133;Smith Communications Inc.;750 Homewood Ave.;31;44;04/06/1989 11:40;53001;60328.1145;New Mexico;113329.1145;56664.55725
134;Myers Chocolates and Confectio;2644 Princeton Ln.;21;47;20/08/1983 05:00;95735;30155.8229;Massachusetts;125890.8229;62945.41145
135;Masterlands Cleaning;2224 Sherman Rd.;26;35;10/11/2004 09:35;41009;92184.8600;Montana;133193.86;66596.93
136;Futoons Cartoons Emporium;465 Stratford Rd.;25;43;08/03/1971 06:00;14133;22700.9968;Missouri;36833.9968;18416.9984
137;Block Boats and Lures;1858 Balsam Way;47;25;06/11/2007 16:42;6582.;27622.6080;Washington;34204.608;17102.304
138;Vanity Town;302-A Crestwood Village Rd.;7;14;20/02/1975 20:27;46712;25546.0548;Connecticut;72258.0548;36129.0274
139;Morton Roofing and Siding;1658 Second St.;33;31;12/12/1974 17:07;27386;40890.5276;North Carolina;68276.5276;34138.2638
140;Caranisco Homes;3344 Beachwood Ln.;15;22;11/09/1993 07:02;11552;61800.5160;Iowa;73352.516;36676.258
141;DBN Bank;2600 Winsor Mall;20;15;27/11/1993 11:33;70626;93936.8580;Maryland;164562.858;82281.429
142;Hart Corporation;1658 Second St.;10;31;10/10/2003 16:33;82624;66993.3696;Georgia;149617.3696;74808.6848
143;Nel Video Productions;1715 Chicago Ave.;20;21;16/01/1970 17:47;31760;42975.8249;Maryland;74735.8249;37367.91245
144;Maintence Services of Maine;1658 Second St.;35;26;16/12/1989 16:02;2253.;67904.2224;Ohio;70157.2224;35078.6112
145;Woodworks Co.;445 Park Ave.;11;25;05/07/2001 07:55;2818.;11610.3016;Hawaii;14428.3016;7214.1508
146;Glenn Oaks Office Supplies;746 Judson Place;6;47;23/11/1989 12:28;16480;746.0806;Colorado;17226.0806;8613.0403
147;Funnyface Amusement Games;2220 Grant Blvd.;7;7;04/07/1986 23:27;36104;84428.2112;Connecticut;120532.2112;60266.1056
148;Highland Lanes;224  Highwood Ave.;35;33;11/09/2001 07:13;95664;67889.7128;Ohio;163553.71279999998;81776.85639999999
149;Marcy Elaine Bakery;1750 Lily Court;45;15;03/11/1982 19:33;11496;88953.1544;Vermont;100449.1544;50224.5772
150;janice Mann Accounting Service;3181 Barkwood Ct.;11;20;25/08/1999 17:53;42674;59793.3440;Hawaii;102467.344;51233.672
151;Lickmen Restoration;1875 Roger Williams Ave.;9;10;17/01/1980 23:33;63304;14949.6536;Florida;78253.6536;39126.8268
152;Moveit Motercycle Service;969 Saxony Drive;41;20;16/12/2006 20:13;52835;23305.0100;South Dakota;76140.01;38070.005
153;Cradle the Call;785 Highland place;1;35;19/05/2005 23:40;97244;64408.5250;Alabama;161652.525;80826.2625
154;Kapp Camera and Video;1619 Judson Ave. Apt #34B;37;11;18/10/1989 16:22;29748;75167.2808;Oregon;104915.2808;52457.6404
155;Marcy Elaine Bakery;430 Oakland Drive;26;6;23/08/2002 13:42;66458;29281.6816;Montana;95739.6816;47869.8408
156;Ernie's Foriegn Car Service;5518 Madison St.;46;7;30/12/1986 04:13;42200;96923.7456;Virginia;139123.7456;69561.8728
157;Myles Building Consultants;367Bluebird Terr.;41;35;12/01/2006 06:00;73508;91960.5823;South Dakota;165468.5823;82734.29115
158;Cotton Thumb Ltd.;433 Burton Ave.;18;45;02/09/1977 15:53;54348;68825.3132;Louisiana;123173.3132;61586.6566
159;Lickmen Restoration;1101 Deerfield Place;44;11;30/04/2004 09:00;35296;28400.9652;Utah;63696.9652;31848.4826
160;Marks, Marks, and Kaplan Ltd.;1019 Deerfield Rd.;28;9;28/03/2006 11:33;58158;88159.9412;Nevada;146317.9412;73158.9706
161;Morton Roofing and Siding;313 Grove Ave.;26;41;02/11/1992 18:02;55520;14379.5080;Montana;69899.508;34949.754
162;P K M Packaging Supply;1077 Court Ave.;12;1;05/01/2000 04:53;82360;30820.1048;Idaho;113180.1048;56590.0524
163;Trapezoid Studios;14836 W. River Oaks Dr.;35;37;24/09/1975 15:13;36376;93888.8917;Ohio;130264.8917;65132.44585
164;Salt & Pepper Catering Service;770 Exmoor Rd.;3;26;16/03/2000 12:28;72598;29061.0965;Arizona;101659.0965;50829.54825
165;Darcy Frame and Matting Servic;42 Valley Rd.;37;46;15/08/2006 13:40;63840;72035.4738;Oregon;135875.4738;67937.7369
166;Jay's Cabinet Company;1 Twin Oaks Place;49;41;15/05/1993 01:55;81480;12930.7150;Wisconsin;94410.715;47205.3575
167;Marks, Marks, and Kaplan Ltd.;770 Exmoor Rd.;31;18;03/07/1996 14:20;64385;26425.0550;New Mexico;90810.055;45405.0275
168;Camp Oconomowoc;1245 Eastwood;9;44;09/08/1980 01:02;57009;95225.9200;Florida;152234.91999999998;76117.45999999999
169;Innman Paint and Glass;673 Calais Drive;5;28;25/10/1996 00:33;39410;59504.8794;California;98914.8794;49457.4397
170;Kermit the Pet Shop;1482 Concorde Circle;16;26;28/10/2000 01:00;61704;75734.8710;Kansas;137438.87099999998;68719.43549999999
171;Pasifico Inc.;1235 Easton Rd.;7;12;01/02/1972 02:40;22248;21182.6096;Connecticut;43430.609599999996;21715.304799999998
172;Block Boats and Lures;618 Sheriden rd.;1;35;16/05/2001 12:33;22504;15952.7112;Alabama;38456.7112;19228.3556
173;Myles Building Consultants;1077 Court Ave.;11;3;06/01/2001 16:53;35436;70414.5286;Hawaii;105850.5286;52925.2643
174;Childress Child Day Care;1882 St. Johns;1;37;05/11/1975 22:53;76014;84328.3125;Alabama;160342.3125;80171.15625
175;Parties Galore Golf Course;857 Woodbine Rd;33;49;09/07/1977 02:33;36512;3210.3180;North Carolina;39722.318;19861.159
176;Facelift Kitchen and Bath;3150 Skokie Valley Rd.;7;31;25/01/2004 06:27;38200;82094.9508;Connecticut;120294.9508;60147.4754
177;Esmarda Chemical Manufacturers;1907 S. Prospect Ave.;27;9;10/04/2006 23:42;86880;41009.4504;Nebraska;127889.4504;63944.7252
178;Pivot Point College;2148 Eastview Dr.;31;5;13/01/1971 07:33;44564;72896.6740;New Mexico;117460.674;58730.337
179;Smith & Wesson Militia;1839 McCraren Rd.;31;16;04/10/2000 07:53;1452.;37980.0392;New Mexico;39432.0392;19716.0196
180;Kapp Camera and Video;2220 Grant Blvd.;15;7;24/10/1994 20:35;19136;93892.0933;Iowa;113028.0933;56514.04665
181;Ampro Office Team Ltd.;844 Spruce St.;29;1;20/09/1990 11:42;97120;18963.7210;New Hampshire;116083.721;58041.8605
182;Hart Corporation;1701 W. Mellody Rd.;6;11;29/04/2000 10:48;58406;56244.8886;Colorado;114650.8886;57325.4443
183;AAA Daniels Antiques;511 Hill;13;1;01/03/1977 10:27;36506;94185.5039;Illinois;130691.5039;65345.75195
184;Palmer Golf Supplies;1860 Parkside Ln.;32;33;06/11/2004 22:15;87604;43880.0118;New York;131484.0118;65742.0059
185;Mail Boxes Et. Al.;22 Clay rd.;48;7;18/02/2002 04:28;42816;77500.9892;;120316.9892;60158.4946
186;Highland Woods City Hall;2632 Prarie Ln.;29;27;15/12/2001 07:07;12577;56096.9800;New Hampshire;68673.98000000001;34336.990000000005
187;Meonits & Mogogni Inc.;844 Spruce St.;50;31;07/08/1994 23:53;78096;23330.8970;Wyoming;101426.897;50713.4485
188;Doerner's Awnings and Canopies;618 Sheriden rd.;16;31;20/03/2006 15:08;38583;21529.2232;Kansas;60112.2232;30056.1116
189;Keyth Contracting and Repair;266 Green Bay Rd.;12;15;10/09/2000 09:27;62900;24842.2402;Idaho;87742.2402;43871.1201
190;Highland Heights Gift Shop;465 Stratford Rd.;42;29;21/05/2001 03:40;54420;88768.7726;Tennessee;143188.7726;71594.3863
191;Auto Interior Carpeting Compan;22 Clay rd.;15;6;03/02/2005 21:48;11110;51360.9800;Iowa;62470.98;31235.49
192;Portugal, Liddy, & Son Ltd.;629 Kincaid Ave.;12;13;16/12/2001 10:53;35808;97008.1688;Idaho;132816.16879999998;66408.08439999999
193;Hilco Auto Body;54 Lakeview Terrace;15;32;04/12/2005 07:47;19680;85163.2000;Iowa;104843.2;52421.6
194;Morton Roofing and Siding;1912 Old Briar Lane #2;7;48;25/06/1974 22:22;11972;136.0523;Connecticut;12108.0523;6054.02615
195;Schnitzer Denist College;628 Orwenstensia;30;29;24/09/1974 14:07;61690;39150.7175;New Jersey;100840.7175;50420.35875
196;Morgan Construction Co;4259 W. Lake Ave.;23;50;09/04/1992 14:48;87739;49355.9160;Minnesota;137094.916;68547.458
197;Air Barbados;42 Valley Rd.;37;16;11/04/1977 09:47;39884;88031.0840;Oregon;127915.084;63957.542
198;Bee Line Publishing;671 Blackstone Ave.;7;12;22/01/2002 13:35;22784;89725.4770;Connecticut;112509.477;56254.7385
199;Transformation Enterprises;669 Kikaid;8;42;14/06/1982 11:53;43353;12351.2164;Delaware;55704.2164;27852.1082
200;Cradle the Call;550 Sheridan;30;15;26/10/1986 08:40;89430;40968.0872;New Jersey;130398.08720000001;65199.043600000005
201;Nel Video Productions;1270 Linden Ave.;7;12;14/10/1985 18:47;74575;84434.0036;Connecticut;159009.0036;79504.5018
202;Darcy Frame and Matting Servic;220 Vine Ave.;5;15;30/04/1993 21:00;91758;2522.0058;California;94280.0058;47140.0029
203;Green Bay Travel Services;1444 Chantilly Ln.;38;7;07/07/1977 22:47;86625;79320.2956;Pennsylvania;165945.2956;82972.6478
204;Nyman Interior Design;456 Groverland Ave.;48;30;09/09/1978 04:33;54440;73204.2780;;127644.278;63822.139
205;Air France;42 Valley Rd.;9;23;08/03/2005 07:35;82380;3511.7144;Florida;85891.7144;42945.8572
206;Dependable Plumbing and Sewer;4763 Blackhawk Rd.;24;37;03/11/2007 05:22;19756;54886.1830;Mississippi;74642.18299999999;37321.091499999995
207;Green Shoes Corp.;310 Walker Ave.;36;7;10/01/1994 00:00;9281.;30359.1770;Oklahoma;39640.176999999996;19820.088499999998
208;janice Mann Accounting Service;368 Woodland Rd.;38;8;19/09/1993 09:28;64440;48635.0300;Pennsylvania;113075.03;56537.515
209;Mac Computer Warehouse;618 Sheriden rd.;12;30;06/04/2006 17:40;10750;13688.0268;Idaho;24438.0268;12219.0134
210;Marks, Marks, and Kaplan Ltd.;77 Blackhawk Rd;43;7;23/10/2000 12:48;41001;13868.1805;Texas;54869.1805;27434.59025
